game,score, train_time, len_buff
1,189.0,1.9951,1038
2,231.0,2.6547,2421
3,168.0,1.9331,3541
4,189.0,2.5098,4996
5,147.0,2.0538,6048
6,231.0,70.3,7252
7,84.0,48.0417,8040
8,399.0,86.2645,9269
9,147.0,98.9622,10538
10,336.0,146.5254,12348
11,210.0,109.637,13659
12,168.0,74.7729,14495
13,231.0,105.4427,15676
14,189.0,74.0187,16678
15,63.0,63.4713,17533
16,189.0,93.0118,18710
17,21.0,60.3917,19469
18,252.0,84.3401,20517
19,252.0,89.3128,21543
20,126.0,112.7434,22574
21,168.0,138.0929,23931
22,189.0,126.1054,25069
23,126.0,56.0465,25572
24,231.0,125.6119,26728
25,357.0,148.5351,28044
26,189.0,151.2395,29246
27,189.0,112.4891,30152
28,84.0,93.8092,30872
29,210.0,138.7204,32170
30,147.0,133.8977,33257
31,231.0,141.2783,34352
32,294.0,161.2186,35611
33,105.0,99.4001,36396
34,189.0,117.1103,37148
35,252.0,157.4528,38264
36,210.0,166.7976,39513
37,294.0,172.1627,40780
38,231.0,145.0678,41888
39,252.0,238.4857,43445
40,147.0,135.2677,44301
41,231.0,244.0608,45836
42,147.0,115.5422,46532
43,231.0,224.2814,47774
44,63.0,125.6214,48428
45,105.0,180.1067,49122
46,252.0,298.3137,50526
47,189.0,208.3586,51552
48,231.0,273.8996,53083
49,189.0,220.5304,54391
