game,score, train_time, len_buff, timestamp
5,378.0,101.0367,14993,01/05/2022 17:45:10
6,651.0,199.9921,17655,01/05/2022 17:48:31
7,315.0,96.7182,18976,01/05/2022 17:50:11
8,735.0,239.2583,21937,01/05/2022 17:54:12
9,399.0,212.939,24544,01/05/2022 17:57:46
10,588.0,197.5973,26845,01/05/2022 18:01:05
11,483.0,266.9288,29654,01/05/2022 18:05:33
12,630.0,255.6501,32185,01/05/2022 18:09:49
13,525.0,296.838,35082,01/05/2022 18:14:47
14,294.0,125.3188,36237,01/05/2022 18:16:55
15,399.0,154.4725,37825,01/05/2022 18:19:30
16,609.0,275.1515,40385,01/05/2022 18:24:06
17,399.0,205.3343,42348,01/05/2022 18:27:33
18,462.0,316.8537,45087,01/05/2022 18:32:50
